Iter,Time,LogLik
1,0.702,-7071570.88472188
2,1.339,-6953870.50300996
3,1.969,-6910402.18517567
4,2.572,-6886562.79778157
5,3.229,-6871700.78291674
6,3.863,-6861198.02809108
7,4.489,-6853658.11594260
8,5.085,-6846598.75024586
9,5.683,-6842664.82169078
10,6.296,-6839876.73057425
11,6.919,-6836785.37678018
12,7.522,-6834293.43052977
13,8.113,-6835109.60574857
14,8.783,-6834939.30341165
15,9.373,-6834378.17298841
16,9.979,-6833777.57487961
17,10.589,-6833135.43668322
18,11.171,-6832438.04012208
19,11.771,-6831872.18074000
20,12.431,-6831413.01385082
21,13.057,-6831158.63571452
22,13.682,-6830919.04425717
23,14.285,-6830715.40798808
24,14.854,-6830363.76085854
25,15.459,-6830354.64462451
26,16.089,-6830535.07954092
27,16.668,-6830423.06893089
28,17.258,-6830451.52498775
29,17.885,-6830658.34867247
30,18.487,-6830827.87601275
31,19.085,-6830950.60913199
32,19.660,-6831033.45249995
33,20.272,-6830962.29212992
34,20.878,-6831078.15068971
35,21.493,-6831186.53180022
36,22.100,-6831258.50188249
37,22.672,-6831359.44912913
38,23.265,-6831527.54068740
39,23.889,-6831533.37893465
40,24.487,-6831622.66820264
41,25.074,-6831842.37216203
42,25.664,-6832013.70508145
43,26.275,-6832160.49892140
44,26.899,-6832276.62808477
45,27.514,-6832278.83387200
46,28.096,-6832461.46060439
47,28.671,-6832635.31889267
48,29.270,-6832769.45789124
49,29.884,-6832896.15028572
50,30.472,-6833046.16237216
51,31.059,-6833135.31713884
52,31.636,-6833283.31003575
53,32.240,-6833486.97390169
54,32.851,-6833642.14410232
55,33.417,-6833790.43150869
56,33.997,-6833893.43364871
57,34.602,-6834001.06402637
58,35.204,-6834089.77330064
59,35.793,-6834230.37377922
60,36.380,-6834338.11287020
61,36.982,-6834454.73493138
62,37.611,-6834594.28873159
63,38.221,-6834715.73730977
64,38.803,-6834879.89154120
65,39.410,-6835016.42730786
66,40.017,-6835152.43978155
67,40.635,-6835290.72306824
68,41.235,-6835398.18895156
69,41.820,-6835515.09982449
70,42.424,-6835614.98729251
71,43.068,-6835717.21339174
72,43.639,-6835838.33986237
73,44.239,-6836033.07491124
74,44.853,-6836195.63875263
75,45.437,-6836331.10316871
76,46.015,-6836420.14331432
77,46.629,-6836527.25431502
78,47.226,-6836593.66606564
79,47.808,-6836707.70016157
80,48.376,-6836829.16510232
81,48.983,-6836939.26272246
82,49.578,-6837022.78056669
83,50.162,-6837131.25762921
84,50.741,-6837232.08076254
85,51.328,-6837398.63771566
86,51.949,-6837554.54239273
87,52.555,-6837663.15602272
88,53.123,-6837720.79233441
89,53.731,-6837800.28346725
90,54.327,-6837851.65524819
91,54.892,-6837953.25905809
92,55.476,-6838058.11609390
93,56.064,-6838155.06516917
94,56.655,-6838253.03955798
95,57.244,-6838347.30185347
96,57.832,-6838437.18890382
97,58.435,-6838505.97538087
98,59.057,-6838572.73692020
99,59.662,-6838685.11578769
100,60.231,-6838759.44641380
101,60.842,-6838851.16664492
102,61.449,-6838989.17596199
103,62.045,-6839075.52597946
104,62.650,-6839172.43446717
105,63.265,-6839270.81568859
106,63.878,-6839373.70752214
107,64.567,-6839476.84119899
108,65.142,-6839575.79680869
109,65.747,-6839651.37699828
110,66.350,-6839707.33496734
111,66.951,-6839794.80252917
112,67.537,-6839862.73007449
113,68.134,-6839961.60259394
114,68.718,-6840076.37950021
115,69.293,-6840159.12898797
116,69.880,-6840245.26544009
117,70.483,-6840324.15360217
118,71.107,-6840405.10449330
119,71.686,-6840490.33460696
120,72.258,-6840586.32911816
121,72.859,-6840657.83566147
122,73.467,-6840740.44671139
123,74.044,-6840833.46024222
124,74.640,-6840905.15193535
125,75.237,-6840959.06999747
126,75.842,-6841031.75577715
127,76.443,-6841112.15426675
128,77.020,-6841194.27917799
