Iter,Time,LogLik
1,0.675,-7078730.06387603
2,1.299,-7080077.38951397
3,1.931,-7085236.27305893
4,2.539,-7091391.98475595
5,3.108,-7097105.34295512
6,3.673,-7100301.87184934
7,4.284,-7103353.47749630
8,4.873,-7106508.83515467
9,5.430,-7110521.19857326
10,5.988,-7113060.33949375
11,6.555,-7115424.64640137
12,7.133,-7116959.34456660
13,7.673,-7120585.02800206
14,8.205,-7122140.88123216
15,8.765,-7123286.71113629
16,9.357,-7124377.37681889
17,9.914,-7125408.89351049
18,10.452,-7125959.40424328
19,11.016,-7125928.94473393
20,11.577,-7126193.52539048
21,12.149,-7126605.45018774
22,12.676,-7127298.64707695
23,13.246,-7127793.32216465
24,13.811,-7127943.89647316
25,14.367,-7128594.59111977
26,14.892,-7128567.58733168
27,15.432,-7128988.20146213
28,15.974,-7129149.46554494
29,16.521,-7129221.54158236
30,17.061,-7129443.25455180
31,17.604,-7129628.39654849
32,18.132,-7129502.58723754
33,18.702,-7129471.33565698
34,19.260,-7129083.45107624
35,19.799,-7128726.24268262
36,20.339,-7128455.91815102
37,20.867,-7128672.02035840
38,21.404,-7128286.85702148
39,21.960,-7128224.51831589
40,22.504,-7127953.27128908
41,23.030,-7127776.87995070
42,23.563,-7127720.17300593
43,24.127,-7127612.07098884
44,24.691,-7127318.04587090
45,25.234,-7127123.87911428
46,25.760,-7126794.09789673
47,26.301,-7126249.01866110
48,26.849,-7125855.94559988
49,27.408,-7125541.07191447
50,27.967,-7125396.44577764
51,28.486,-7125353.22935679
52,29.034,-7125188.47591741
53,29.589,-7124709.86288926
54,30.129,-7124393.36461375
55,30.655,-7124114.61944539
56,31.187,-7123611.25059681
57,31.752,-7123310.32657492
58,32.308,-7123090.54256362
59,32.824,-7122768.19269893
60,33.372,-7122349.26178863
61,33.905,-7122029.32105449
62,34.444,-7121849.47106203
63,34.984,-7121744.93146221
64,35.489,-7121556.45478261
65,36.007,-7121087.73833732
66,36.544,-7120806.99918363
67,37.113,-7120583.44822302
68,37.627,-7120082.21243296
69,38.152,-7119782.32073423
70,38.707,-7119557.33017306
71,39.262,-7119240.47650579
72,39.797,-7118786.80250978
73,40.328,-7118602.17561474
74,40.847,-7118336.52486215
75,41.403,-7118061.90564612
76,41.940,-7117843.36646881
77,42.462,-7117477.78918825
78,42.983,-7117184.99749913
79,43.512,-7116929.42383219
80,44.061,-7116579.84648204
81,44.596,-7116219.44398774
82,45.116,-7115848.52132262
83,45.646,-7115592.84871176
84,46.191,-7115075.68854766
85,46.740,-7114892.86520383
86,47.276,-7114696.54764597
87,47.799,-7114455.64698285
88,48.307,-7114120.66417117
89,48.854,-7113810.33623747
90,49.395,-7113512.51299680
91,49.912,-7113356.07568334
92,50.431,-7112970.88354338
93,50.972,-7112685.03263052
94,51.539,-7112357.24800008
95,52.082,-7112140.15413663
96,52.622,-7111613.63881620
97,53.164,-7111345.47155401
98,53.709,-7111026.15194587
99,54.232,-7110698.89340935
100,54.774,-7110518.74328776
101,55.312,-7110230.19342580
102,55.869,-7109903.67746589
103,56.403,-7109570.34772017
104,56.921,-7109276.45168418
105,57.449,-7109021.98598221
106,58.020,-7108794.72015318
107,58.556,-7108533.90980439
108,59.074,-7108369.32666629
109,59.610,-7108092.93348218
110,60.161,-7107818.39147512
111,60.694,-7107396.73928193
112,61.222,-7107262.49798983
113,61.766,-7107048.91550952
114,62.336,-7106639.80203394
115,62.898,-7106331.03527504
116,63.411,-7106104.93700043
117,63.949,-7105907.98517043
118,64.502,-7105709.90397348
119,65.043,-7105420.54477881
120,65.572,-7105263.82997393
121,66.135,-7105059.86079871
122,66.697,-7104753.10759031
123,67.240,-7104594.43146554
124,67.766,-7104450.75798003
125,68.307,-7104204.83154171
126,68.880,-7104050.60721533
127,69.406,-7103966.88653805
128,69.916,-7103619.99863826
129,70.489,-7103292.22656095
130,71.036,-7103014.63272227
131,71.553,-7102552.50335589
132,72.078,-7102480.76463053
133,72.638,-7102289.35608429
134,73.176,-7101971.19623847
135,73.726,-7101816.22745808
136,74.249,-7101626.60801259
137,74.778,-7101421.66859740
138,75.321,-7101199.12746030
139,75.883,-7101050.41576074
140,76.426,-7100738.24029121
141,76.952,-7100391.30826798
142,77.594,-7100162.96962775
143,78.168,-7099775.33652578
144,78.694,-7099711.45053871
145,79.246,-7099627.05860612
146,79.848,-7099444.54573110
147,80.382,-7099326.85480176
148,80.899,-7098961.31999791
149,81.461,-7098645.22133309
150,82.018,-7098520.84541058
151,82.556,-7098397.28320097
152,83.110,-7098172.75509597
153,83.625,-7098006.19298748
154,84.155,-7097821.13916973
155,84.705,-7097392.45516451
156,85.229,-7097108.29844343
157,85.752,-7097049.82776489
158,86.295,-7096817.06991623
159,86.848,-7096684.61508864
160,87.392,-7096436.05936692
161,87.915,-7096153.56007838
162,88.440,-7096056.84473658
163,88.991,-7095930.17903585
164,89.559,-7095749.03336534
165,90.087,-7095597.21568784
166,90.629,-7095453.66924895
167,91.185,-7095124.39488834
168,91.720,-7094908.66523602
169,92.250,-7094728.66619610
170,92.768,-7094692.96859757
171,93.327,-7094509.65297408
172,93.905,-7094384.97675611
173,94.423,-7094220.25815583
174,94.955,-7094072.55788172
175,95.488,-7093948.81671575
176,96.034,-7093736.10795830
177,96.573,-7093481.29579218
178,97.101,-7093302.60661447
179,97.627,-7092995.45187832
180,98.173,-7092751.72221372
181,98.737,-7092544.19901424
182,99.270,-7092477.26541256
183,99.795,-7092349.61299482
184,100.334,-7092205.18661007
185,101.419,-7092058.87327848
186,102.000,-7091858.89027882
187,102.547,-7091720.06199835
188,103.103,-7091488.46955740
189,103.649,-7091277.45053395
190,104.180,-7091157.98625260
191,104.738,-7090885.66252860
192,105.277,-7090652.78863187
193,105.793,-7090624.57444715
194,106.372,-7090418.46210237
195,106.912,-7090172.10110056
196,107.472,-7090085.34245066
197,107.998,-7089917.55375942
198,108.514,-7089836.08289015
199,109.059,-7089693.44455142
200,109.607,-7089523.93961073
201,110.127,-7089340.49314192
202,110.642,-7089061.25777200
203,111.177,-7088867.53101510
204,111.736,-7088783.69668389
205,112.293,-7088762.13518020
206,112.843,-7088519.28196640
207,113.362,-7088318.84156873
208,113.911,-7088151.71887813
209,114.456,-7088011.18744948
210,114.979,-7087959.47648642
211,115.509,-7087889.62416218
212,116.086,-7087659.33316909
213,116.630,-7087527.11412120
214,117.182,-7087261.38520765
215,117.728,-7087098.43548571
216,118.248,-7087003.09635396
217,118.799,-7086760.60635424
218,119.354,-7086647.43097844
219,119.866,-7086518.85905119
220,120.377,-7086360.97166281
221,120.923,-7086234.88953752
222,121.475,-7086055.37099267
223,122.036,-7085950.22790017
224,122.561,-7085788.67765245
225,123.079,-7085642.77438188
226,123.623,-7085722.78620947
227,124.186,-7085670.93386880
228,124.713,-7085412.81003199
229,125.223,-7085202.39677553
230,125.771,-7085112.24964073
231,126.325,-7084983.02936373
232,126.875,-7084830.51644620
233,127.405,-7084712.53762291
234,127.941,-7084477.89639110
235,128.473,-7084397.92580517
236,129.032,-7084196.14998796
237,129.549,-7084089.42995036
238,130.062,-7084124.00319676
239,130.611,-7084076.15727478
240,131.157,-7083807.41201154
241,131.700,-7083721.11311476
242,132.238,-7083665.12293875
243,132.758,-7083671.00615605
244,133.296,-7083493.42569026
245,133.847,-7083317.55991560
246,134.380,-7083202.88184306
247,134.914,-7083234.17723769
248,135.453,-7083083.72104894
249,135.993,-7082871.86939293
250,136.543,-7082648.51959486
251,137.066,-7082552.65178763
252,137.581,-7082396.24945956
253,138.115,-7082300.69908189
254,138.673,-7082165.39199407
255,139.212,-7082112.90988127
256,139.728,-7082009.38547976
257,140.264,-7081892.30842908
258,140.804,-7081763.01838115
259,141.382,-7081706.01888302
260,141.906,-7081632.17663967
261,142.425,-7081427.70337101
262,142.969,-7081254.33803295
