Iter,Time,LogLik
1,4.730,-7151122.02061976
2,7.047,-7186106.48820050
3,9.376,-7193199.50934412
4,11.517,-7192328.07626771
5,13.501,-7190499.30434330
6,15.393,-7186479.21503601
7,17.297,-7182857.71062974
8,19.120,-7179039.81732369
9,20.915,-7175849.31502477
10,22.713,-7171708.88888391
11,24.513,-7168662.35438478
12,26.340,-7164962.35668475
13,28.138,-7161866.82546318
14,29.874,-7158804.43317304
15,31.611,-7156241.91554967
16,33.371,-7153295.31240989
17,35.099,-7150944.08591341
18,36.890,-7148306.54359200
19,38.602,-7146097.81749844
20,40.348,-7143815.50023833
21,42.126,-7141707.21993863
22,43.865,-7139721.73306622
23,45.597,-7137618.29942077
24,47.370,-7135958.70559488
25,49.124,-7134310.14683182
26,50.827,-7132507.19663087
27,52.575,-7131076.42357579
28,54.282,-7129355.49303761
29,56.044,-7127921.30150397
30,57.742,-7126433.42282830
31,59.457,-7125242.58607417
32,61.170,-7123701.06596083
33,62.882,-7122540.54125828
34,64.610,-7121207.88631981
35,66.336,-7120307.50962968
36,68.073,-7118848.69566193
37,69.742,-7117820.41793039
38,71.496,-7116672.42342124
39,73.210,-7115611.72522907
40,74.930,-7114620.52571710
41,76.671,-7113694.65662892
42,78.400,-7112670.35944234
43,80.164,-7111858.76116702
44,81.855,-7110839.95817878
45,83.580,-7110212.68096454
46,85.304,-7109105.04034413
47,87.030,-7108383.29746524
48,88.732,-7107483.15518091
49,90.437,-7106995.55154285
50,92.167,-7105928.18637731
51,93.944,-7105237.74960832
52,95.641,-7104487.63826515
53,97.349,-7103815.94196776
54,99.098,-7103131.17531689
55,100.870,-7102375.49941521
56,102.584,-7101799.43465997
57,104.288,-7101091.88111340
58,106.030,-7100557.36641548
59,107.787,-7100007.15045746
60,109.494,-7099356.38177921
61,111.237,-7098953.06268714
62,112.983,-7098214.51936296
63,114.709,-7097735.29083684
64,116.434,-7097148.58973758
65,118.189,-7096548.10972794
66,119.936,-7096121.73016020
67,121.664,-7095733.56247498
68,123.394,-7095131.25002930
69,125.112,-7094733.14762502
70,126.854,-7094200.53198730
71,128.656,-7093781.29839760
72,130.449,-7093305.66968410
73,132.155,-7092956.65612897
74,133.907,-7092467.89610266
75,135.672,-7092143.78172016
