Iter,Time,LogLik
1,2.310,-6769210.92167819
2,3.259,-6744009.39974152
3,4.169,-6737909.39569359
4,4.882,-6732436.12420210
5,5.415,-6730159.86811317
6,6.090,-6728249.02708552
7,6.713,-6726701.91931848
8,7.294,-6725650.47154687
9,7.835,-6726114.08677429
10,8.364,-6725493.45971624
11,8.823,-6724935.50099185
12,9.278,-6724708.99140406
13,9.761,-6726817.78246183
14,10.212,-6727478.50198875
15,10.704,-6727787.99828741
16,11.252,-6727753.86400558
17,11.671,-6728105.64694834
18,12.086,-6727749.51228501
19,12.454,-6727255.05945802
20,12.925,-6726941.86306186
21,13.352,-6726911.70340140
22,13.731,-6726468.42498189
23,14.105,-6726660.67721052
24,14.525,-6726597.46853185
25,14.903,-6726799.10146521
26,15.324,-6726857.16254872
27,15.706,-6726846.72319248
28,16.139,-6726924.23839090
29,16.513,-6726898.54085097
30,16.933,-6726699.49751632
31,17.327,-6726530.96366251
32,17.674,-6726286.70938626
33,18.014,-6726120.31341376
34,18.356,-6725988.83675628
35,18.712,-6725888.87440960
36,19.057,-6725548.09432287
37,19.406,-6725409.58588659
38,19.767,-6725238.18801026
39,20.127,-6725138.00603651
40,20.498,-6725065.83988901
41,20.834,-6724898.08993860
42,21.269,-6724745.18816056
43,21.604,-6724553.56629811
44,21.919,-6724240.02643508
45,22.296,-6724128.03539884
46,22.649,-6723966.34647702
47,22.995,-6723818.63548359
48,23.334,-6723557.66739218
49,23.660,-6723446.69861876
50,23.982,-6723280.33784904
51,24.305,-6723205.38180560
52,24.630,-6723115.33735280
53,24.991,-6722820.72572356
54,25.346,-6722603.58161607
55,25.682,-6722398.99563723
56,26.047,-6722148.79002717
57,26.370,-6721957.40244711
58,26.691,-6721600.65993417
59,27.014,-6721236.34254043
60,27.358,-6721375.36876320
61,27.711,-6721283.34530552
62,28.064,-6721142.72932947
63,28.380,-6721130.81219144
64,28.699,-6721047.98507300
65,29.019,-6720699.17398118
66,29.373,-6720528.05441569
67,29.809,-6720310.04174171
68,30.176,-6720028.10074558
69,30.507,-6719767.38091127
70,30.825,-6719484.78254528
71,31.172,-6719128.14955452
72,31.498,-6719170.24029791
73,31.829,-6719144.63019550
74,32.168,-6719001.63936765
75,32.506,-6718845.10659808
76,32.845,-6718717.65629346
77,33.151,-6718432.54290486
78,33.479,-6718349.42606103
79,33.804,-6718178.14991375
80,34.139,-6717872.04510315
81,34.470,-6717688.05642145
82,34.805,-6717387.14116352
83,35.162,-6717408.18598678
84,35.475,-6717083.45837713
85,35.786,-6717026.70244286
86,36.113,-6716859.61712956
87,36.459,-6716636.65592392
88,36.796,-6716477.11358052
89,37.120,-6716251.28648562
90,37.435,-6716073.68211667
91,37.752,-6715890.94576164
92,38.093,-6715604.46348013
93,38.429,-6715457.76553781
94,38.768,-6715180.30154680
95,39.094,-6715190.86469058
96,39.413,-6715009.51353772
97,39.721,-6714998.18002399
98,40.028,-6714806.39303732
99,40.336,-6714558.98026724
100,40.657,-6714388.16955564
101,40.990,-6714210.77289631
102,41.327,-6714068.62687436
103,41.635,-6713872.01130202
104,42.031,-6713694.26367166
105,42.349,-6713641.52685994
106,42.664,-6713453.77376652
107,43.001,-6713425.02315821
108,43.335,-6713189.66178163
109,43.659,-6713139.40461363
110,43.976,-6712956.88016868
111,44.293,-6712692.54720245
112,44.606,-6712485.68522358
113,44.929,-6712290.69669552
114,45.247,-6712125.24035651
115,45.578,-6711925.10116930
116,45.887,-6711798.75331366
117,46.208,-6711782.24534305
118,46.543,-6711628.58693780
119,46.857,-6711562.80878987
120,47.202,-6711343.11986085
121,47.560,-6711243.82587141
122,47.890,-6711307.15393263
123,48.198,-6711125.12385160
124,48.551,-6711019.43797756
125,48.861,-6710840.77137193
126,49.199,-6710699.36448630
127,49.542,-6710489.71620369
128,49.872,-6710212.43450654
129,50.174,-6710114.27786984
130,50.481,-6709944.96338439
131,50.780,-6709896.83171282
132,51.093,-6709815.71365888
133,51.451,-6709670.23191712
134,51.849,-6709725.90212952
135,52.156,-6709524.29984163
136,52.464,-6709415.34941112
137,52.776,-6709251.47347248
138,53.083,-6709177.10958433
139,53.417,-6708973.45220899
140,53.774,-6708730.20488167
141,54.092,-6708591.26037162
142,54.400,-6708412.18887752
143,54.705,-6708412.33003819
144,55.041,-6708350.89258581
145,55.357,-6708322.53124358
146,55.711,-6708303.97022154
147,56.040,-6708256.40893462
148,56.373,-6708225.73035206
149,56.701,-6708038.03789055
150,57.011,-6707872.42040060
151,57.316,-6707710.84661518
152,57.642,-6707661.74421132
153,57.975,-6707492.14220425
154,58.305,-6707325.30240788
155,58.619,-6707204.47366117
156,58.933,-6707038.51470715
157,59.244,-6707007.62875346
158,59.569,-6707018.81583431
159,59.895,-6706984.67627592
160,60.222,-6706942.01175411
161,60.545,-6706720.78389929
162,60.864,-6706585.77467954
163,61.169,-6706436.68814495
164,61.468,-6706331.97071095
165,61.775,-6706169.45040488
166,62.116,-6706033.87571000
167,62.444,-6705916.51407028
168,62.769,-6705772.90799431
169,63.080,-6705742.01559535
170,63.403,-6705570.29117237
171,63.716,-6705472.54646136
172,64.030,-6705359.94192756
173,64.487,-6705288.41899974
174,64.839,-6705242.53327081
175,65.169,-6705204.01971054
176,65.478,-6705062.77862700
177,65.790,-6704989.86663833
178,66.108,-6704931.20850948
179,66.435,-6704786.14249384
180,66.752,-6704626.36023568
181,67.077,-6704586.84253170
182,67.393,-6704417.61266528
183,67.703,-6704280.06292091
184,68.007,-6704185.84260881
185,68.315,-6704126.44429942
186,68.671,-6704096.02368643
187,69.073,-6704040.09254234
188,69.393,-6703957.88032336
189,69.705,-6703941.83523217
190,70.014,-6703881.04743233
191,70.312,-6703809.86035289
192,70.627,-6703672.64213738
193,70.972,-6703669.61622509
194,71.298,-6703646.07535184
195,71.612,-6703563.36882660
196,71.926,-6703438.96814145
197,72.248,-6703321.92010466
198,72.566,-6703255.73134715
199,72.890,-6703120.63727636
200,73.221,-6703046.45430766
201,73.562,-6703006.23189222
202,73.876,-6702894.51497507
