Iter,Time,LogLik
1,0.964,-7073699.02125609
2,1.747,-7096622.16566977
3,2.491,-7108920.25592618
4,3.257,-7118873.56453989
5,4.014,-7125152.48792335
6,4.730,-7128958.26747139
7,5.426,-7132638.03399457
8,6.140,-7135617.28649561
9,6.865,-7139281.84706912
10,7.569,-7141343.54222112
11,8.252,-7143179.19955602
12,8.953,-7144503.22641167
13,9.677,-7145977.21299304
14,10.378,-7146168.62210646
15,11.049,-7146909.11181127
16,11.746,-7147453.95579506
17,12.461,-7147379.51360733
18,13.176,-7147518.42771585
19,13.858,-7147409.96812742
20,14.512,-7147442.61918007
21,15.208,-7147317.01275997
22,15.901,-7147155.83552500
23,16.562,-7147040.56882457
24,17.231,-7146878.04356616
25,17.967,-7146912.62969420
26,18.656,-7146863.52118599
27,19.320,-7146541.57080927
28,19.980,-7146033.04064572
29,20.639,-7145578.73017400
30,21.320,-7145272.49803477
31,21.979,-7144880.50451748
32,22.647,-7144559.26813551
33,23.299,-7144503.19060877
34,24.000,-7144477.07992304
35,24.683,-7144114.72683308
36,25.334,-7143674.41750538
37,26.003,-7143064.66025716
38,26.675,-7142583.12168383
39,27.378,-7142130.91845216
40,28.057,-7141773.35147037
41,28.715,-7141332.22292377
42,29.388,-7141162.37637387
43,30.098,-7140940.49083996
44,30.766,-7140384.16771197
45,31.423,-7139954.28818358
46,32.061,-7139401.76191104
47,32.765,-7139168.37705725
48,33.438,-7138652.55109955
49,34.071,-7138369.93733942
50,34.726,-7138066.77292337
51,35.411,-7137480.06740473
52,36.088,-7137177.43064683
53,36.758,-7136701.04512992
54,37.419,-7136244.04363411
55,38.081,-7135908.54073822
56,38.758,-7135574.05284631
57,39.421,-7135135.13582374
58,40.044,-7134736.06375635
59,40.750,-7134483.91531571
60,41.426,-7134043.51964387
61,42.103,-7133628.07443067
62,42.752,-7133285.57022590
63,43.396,-7132894.52842568
64,44.062,-7132552.77463323
65,44.749,-7132187.63414485
66,45.423,-7131750.42926823
67,46.073,-7131409.96795782
68,46.740,-7131290.97251490
69,47.415,-7130845.10811600
70,48.079,-7130441.39003223
71,48.738,-7130088.97871225
72,49.461,-7129750.27854870
73,50.150,-7129303.94057774
74,50.837,-7128926.33208027
75,51.489,-7128633.10064540
76,52.139,-7128504.03639885
77,52.818,-7128076.65591310
78,53.494,-7127769.13992426
79,54.147,-7127449.10294704
80,54.787,-7127122.10801943
81,55.465,-7126703.20004259
82,56.132,-7126439.92518827
83,56.826,-7126239.18959179
84,57.481,-7125925.72909601
85,58.134,-7125552.46727723
86,58.800,-7125203.70313017
87,59.463,-7124923.08075120
88,60.138,-7124588.72771044
89,60.790,-7124297.60164744
90,61.468,-7123949.42156497
91,62.154,-7123616.84022569
92,62.840,-7123388.05147618
93,63.498,-7123137.90775375
94,64.164,-7122760.30051998
95,64.857,-7122431.54903014
96,65.530,-7122206.74566088
97,66.180,-7121942.03866179
98,66.840,-7121586.67710211
99,67.538,-7121358.37931427
100,68.213,-7121191.70028662
101,68.860,-7120905.47098940
102,69.509,-7120687.75812775
103,70.175,-7120416.91318035
104,70.831,-7120037.57423151
105,71.503,-7119737.00116219
106,72.164,-7119505.51370116
107,72.799,-7119256.57166449
108,73.484,-7119069.20562244
109,74.171,-7118834.06970342
110,74.852,-7118523.42825186
111,75.498,-7118399.00542836
112,76.175,-7118275.92564108
113,76.848,-7117978.74956689
114,77.525,-7117699.00105422
115,78.183,-7117382.62466780
116,78.832,-7117113.52452077
117,79.514,-7116805.13906468
118,80.191,-7116596.66374668
119,80.921,-7116464.56716446
120,81.565,-7116313.98712402
121,82.250,-7116057.53433947
122,82.931,-7115704.73224211
123,83.600,-7115427.64689524
124,84.254,-7115190.61980443
125,84.909,-7115062.06364928
126,85.598,-7114862.20644991
127,86.277,-7114629.71005112
128,86.946,-7114449.88576788
129,87.601,-7114225.46419844
130,88.285,-7113901.72278258
131,88.957,-7113626.34619645
132,89.618,-7113439.53927506
133,90.290,-7113234.69722378
134,90.952,-7113002.32413251
135,91.636,-7112891.05012451
136,92.292,-7112595.15450495
137,92.953,-7112290.04571114
138,93.629,-7112160.46722548
139,94.311,-7112022.56272940
140,95.002,-7111769.11123701
141,95.651,-7111573.80532347
142,96.327,-7111334.36634029
143,97.018,-7111222.36663139
144,97.686,-7111044.84503010
145,98.330,-7110893.13364565
146,99.004,-7110691.04335053
147,99.689,-7110418.78420306
148,100.382,-7110280.75718867
149,101.028,-7110095.97091773
150,101.700,-7109942.16178174
151,102.397,-7109694.11991911
152,103.062,-7109508.43392646
153,103.713,-7109363.04730848
154,104.358,-7109170.86868596
155,105.035,-7109081.70648001
156,105.702,-7108910.97265350
157,106.355,-7108638.75779184
158,107.045,-7108488.65135986
159,107.718,-7108219.81440679
160,108.393,-7108095.11172032
161,109.070,-7107913.29727541
162,109.733,-7107744.60167968
163,110.381,-7107637.76611376
164,111.051,-7107484.24209993
165,111.736,-7107213.79719246
166,112.389,-7107044.06005115
167,113.037,-7106910.77091215
168,113.706,-7106741.92461276
169,114.377,-7106632.88095276
170,115.032,-7106415.25672346
171,115.673,-7106220.90157752
172,116.331,-7106063.38485097
173,117.020,-7105858.17295825
174,117.692,-7105679.89565510
175,118.370,-7105544.65755475
176,119.019,-7105366.49383461
177,119.686,-7105170.30303011
178,120.362,-7105072.67933854
179,121.019,-7104814.90264142
180,121.649,-7104596.21757256
181,122.306,-7104523.10127133
182,122.994,-7104439.57980848
183,123.676,-7104231.39613430
184,124.330,-7104094.29080907
185,125.005,-7103942.06956874
186,125.684,-7103819.73688897
187,126.362,-7103552.80245606
188,127.017,-7103492.38463005
189,127.662,-7103343.30884869
190,128.336,-7103238.72923289
191,129.041,-7103092.71256447
192,129.719,-7102914.95972128
193,130.369,-7102707.14075446
194,131.018,-7102489.50598128
195,131.681,-7102381.53245022
196,132.364,-7102352.74797071
197,133.055,-7102190.88321088
198,133.725,-7102115.15438641
199,134.435,-7102015.74517034
200,135.124,-7101862.07439186
201,135.834,-7101780.33803429
202,136.505,-7101617.03579952
203,137.150,-7101543.51590156
204,137.816,-7101362.11362917
205,138.488,-7101247.24490443
206,139.150,-7101037.87000279
207,139.792,-7100925.53255626
208,140.470,-7100770.97627319
209,141.157,-7100713.24960548
210,141.822,-7100656.83704612
211,142.478,-7100560.17803356
212,143.154,-7100415.41686945
213,143.844,-7100195.90005717
214,144.522,-7100083.21210791
215,145.183,-7099943.54602771
216,145.857,-7099844.76504680
217,146.554,-7099674.53091397
218,147.239,-7099628.57622850
219,147.876,-7099503.80326123
220,148.528,-7099347.85064491
221,149.200,-7099311.66369001
222,149.875,-7099101.29523832
223,150.519,-7099009.73687546
224,151.187,-7098920.82429208
225,151.866,-7098765.90619995
226,152.543,-7098600.53390176
227,153.210,-7098428.25145102
228,153.881,-7098386.08543835
229,154.566,-7098337.30942238
230,155.262,-7098152.69177593
231,155.954,-7098068.98695419
232,156.610,-7097906.55471489
233,157.296,-7097871.18500793
234,157.975,-7097678.27117111
235,158.642,-7097671.43942478
236,159.300,-7097516.61106318
237,159.983,-7097457.62737837
238,160.697,-7097247.56281555
239,161.421,-7097166.58795726
240,162.100,-7097042.99669712
241,162.844,-7096960.03509328
242,163.584,-7096791.94449062
243,164.256,-7096676.74379639
244,164.899,-7096597.69752713
245,165.578,-7096573.14729988
246,166.259,-7096408.54882630
247,166.944,-7096289.14269623
248,167.583,-7096182.18584770
249,168.280,-7096093.39926074
250,168.963,-7095992.97420929
251,169.633,-7095818.19557559
252,170.274,-7095750.67915676
253,170.933,-7095758.78343557
254,171.630,-7095645.04076846
255,172.295,-7095590.79095309
256,172.963,-7095484.21239366
257,173.627,-7095372.30106997
258,174.316,-7095201.87459401
259,174.984,-7095146.11104853
260,175.638,-7094999.89296492
261,176.329,-7094957.72870505
262,177.002,-7094883.60366087
263,177.713,-7094847.02558056
264,178.359,-7094706.55772071
265,179.037,-7094567.52404961
266,179.717,-7094415.30891256
267,180.386,-7094385.84776338
268,181.039,-7094286.44503793
269,181.715,-7094225.18381286
270,182.398,-7094080.49669464
271,183.057,-7093968.40045776
272,183.726,-7093927.51746517
273,184.402,-7093790.62139664
274,185.108,-7093700.94282958
275,185.781,-7093646.95436036
276,186.445,-7093657.43285693
277,187.119,-7093589.83125501
278,187.782,-7093490.54122189
279,188.459,-7093384.12423823
280,189.096,-7093285.44704265
281,189.774,-7093165.46452334
282,190.471,-7093062.84961321
283,191.157,-7092948.08182147
284,191.801,-7092964.96751486
285,192.469,-7092838.00510353
286,193.155,-7092759.67345923
287,193.806,-7092693.13407886
288,194.473,-7092627.90737541
289,195.162,-7092604.94734320
290,195.850,-7092487.05619518
291,196.530,-7092404.79785264
292,197.190,-7092306.47702548
293,197.876,-7092198.36100717
294,198.549,-7092114.90085135
295,199.224,-7092038.75147435
296,199.883,-7091980.27445587
297,200.563,-7091952.97264895
298,201.239,-7091860.31446429
299,201.907,-7091804.19232509
300,202.552,-7091746.22044357
301,203.223,-7091682.18654837
302,203.914,-7091687.55717364
303,204.560,-7091627.03859642
304,205.212,-7091480.98911656
305,205.885,-7091308.95503258
306,206.563,-7091241.47229470
307,207.218,-7091168.44345588
308,207.882,-7091115.32630552
309,208.577,-7091028.68277705
310,209.274,-7091007.08577906
311,209.966,-7090918.87454201
312,210.613,-7090790.66020347
313,211.269,-7090770.65246949
314,211.937,-7090662.61918466
315,212.634,-7090578.62506444
