Iter,Time,LogLik
1,52.227,-9017273.92069436
2,94.796,-8800484.48135480
3,137.278,-8656792.00291655
4,180.453,-8562654.93403546
5,224.349,-8499084.06580934
6,268.831,-8454604.17974770
7,313.602,-8422155.17433183
8,358.529,-8397894.82188307
9,403.751,-8378987.60865527
10,449.074,-8363984.71380478
11,494.714,-8352044.21301165
12,540.416,-8342602.06818890
13,586.180,-8334360.10961842
14,632.021,-8327908.22332121
15,677.794,-8322312.68404530
16,723.715,-8317587.47731293
17,769.682,-8313768.66944339
18,815.870,-8310167.78665408
19,861.785,-8306979.14077818
20,907.763,-8303967.80860250
21,953.788,-8301543.30788212
22,999.847,-8299198.47733301
23,1045.914,-8296915.11430103
24,1092.024,-8294886.73872905
25,1138.198,-8292980.82804954
26,1184.393,-8291306.50803865
27,1230.488,-8289995.31512621
28,1276.609,-8288506.86203905
29,1322.799,-8287191.50824830
30,1369.060,-8285947.01131859
31,1415.340,-8284796.24347275
32,1461.657,-8283739.71199832
33,1508.005,-8282680.00165297
34,1554.192,-8281624.50008460
35,1600.414,-8280596.89167461
36,1646.787,-8279712.59021908
37,1692.997,-8278864.87611060
38,1739.284,-8278030.11053546
39,1785.599,-8277269.34262777
40,1833.375,-8276526.22854161
41,1880.559,-8275814.46465570
42,1928.313,-8275122.04672333
43,1974.592,-8274483.57726071
44,2020.581,-8273859.63521286
45,2066.621,-8273309.75735255
46,2112.607,-8272832.51529649
47,2158.669,-8272271.81712346
48,2204.790,-8271738.95234939
49,2250.865,-8271258.00711931
50,2296.985,-8270831.51808204
51,2343.125,-8270392.38076651
52,2389.271,-8270044.02378672
53,2435.519,-8269650.68790807
54,2482.146,-8269125.63296278
55,2528.158,-8268746.29299812
56,2574.237,-8268349.62493965
57,2620.377,-8268064.00382338
58,2666.579,-8267712.67205305
59,2712.736,-8267298.20196667
60,2758.957,-8266926.27269973
61,2805.207,-8266593.77372994
62,2851.476,-8266261.55556686
63,2897.646,-8265942.86283343
64,2943.929,-8265581.95860640
65,2990.045,-8265282.93809903
66,3036.266,-8264963.67941804
67,3082.581,-8264663.44467157
68,3128.940,-8264310.17911905
69,3175.176,-8263947.56924961
70,3221.283,-8263629.07880728
71,3267.521,-8263273.54899663
72,3313.807,-8262910.94664739
73,3360.128,-8262516.33456420
74,3406.371,-8262162.72171484
75,3452.653,-8261866.81289099
76,3499.313,-8261508.84634972
77,3545.584,-8261212.45379448
78,3592.166,-8260948.61753845
79,3640.147,-8260687.93859851
80,3686.330,-8260410.72863213
81,3733.677,-8260188.15458477
82,3779.812,-8259950.20342164
83,3826.048,-8259716.01443841
84,3872.215,-8259464.46940560
85,3918.393,-8259243.21079608
86,3964.504,-8259078.58955597
87,4010.767,-8258868.57853157
88,4057.060,-8258658.21683350
89,4103.241,-8258443.17301206
90,4149.469,-8258268.67927120
91,4195.684,-8258064.74717916
92,4241.888,-8257861.24305669
93,4288.222,-8257706.06295553
94,4334.401,-8257496.48045227
95,4380.580,-8257346.92419218
96,4426.838,-8257135.09864857
97,4473.022,-8256975.35361390
98,4519.134,-8256835.75173696
99,4565.483,-8256689.02050988
100,4611.813,-8256557.51445879
101,4658.014,-8256433.01306087
102,4704.413,-8256299.87276346
103,4750.689,-8256178.30211049
104,4797.026,-8256058.48810065
105,4843.215,-8255908.48715999
106,4889.554,-8255798.64930508
107,4935.812,-8255684.54279867
108,4982.127,-8255528.47187022
109,5028.462,-8255433.46688426
110,5074.748,-8255298.57031558
111,5121.190,-8255159.98315737
