Iter,Time,LogLik
1,2.410,-7022945.12990867
2,3.654,-7027865.84286759
3,4.725,-7028842.93627892
4,5.973,-7033068.20449314
5,6.795,-7038438.71173117
6,7.690,-7041450.49028839
7,8.493,-7044421.91182320
8,9.337,-7047694.14655552
9,10.046,-7050920.93227222
10,10.821,-7054107.37844854
11,11.504,-7056621.91057634
12,12.299,-7058073.66944655
13,13.051,-7061293.69394295
14,13.687,-7063995.82091469
15,14.351,-7065708.39357292
16,14.978,-7067675.32259547
17,15.659,-7069520.77505500
18,16.269,-7070907.88659005
19,16.912,-7072060.93096246
20,17.554,-7073374.92417652
21,18.171,-7074625.37736581
22,18.824,-7075868.35642611
23,19.456,-7077227.83861006
24,20.055,-7077833.23496464
25,20.694,-7079008.79292794
26,21.388,-7079804.42907352
27,22.007,-7080725.82870849
28,22.611,-7081522.23020503
29,23.211,-7082299.81173370
30,23.857,-7082827.10846642
31,24.480,-7083455.84151229
32,25.052,-7084276.94845558
33,25.635,-7084970.46152150
34,26.251,-7085495.41330535
35,26.838,-7086030.66883977
36,27.399,-7086404.96435649
37,27.985,-7086994.27567968
38,28.567,-7087481.23360067
39,29.138,-7087931.23763073
40,29.694,-7088279.15281450
41,30.286,-7088807.65162776
42,30.880,-7089259.20284735
43,31.531,-7089681.58206501
44,32.083,-7090210.97569825
45,32.666,-7090593.90404666
46,33.248,-7090929.86960368
47,33.843,-7091289.48354705
48,34.384,-7091516.45934356
49,34.974,-7091857.72479618
50,35.560,-7092267.17125708
51,36.110,-7092577.94439482
52,36.677,-7092945.77346908
53,37.238,-7093120.41116411
54,37.798,-7093362.74865587
55,38.368,-7093588.33411273
56,38.923,-7093913.00595612
57,39.525,-7093983.68689615
58,40.106,-7094144.50193755
59,40.670,-7094438.34197542
60,41.226,-7094554.95968737
61,41.808,-7094722.87404531
62,42.400,-7095002.13204177
63,42.977,-7095192.62787450
64,43.513,-7095498.19368290
65,44.092,-7095582.91934569
66,44.670,-7095779.36184414
67,45.263,-7095897.41757200
68,45.817,-7096112.11198043
69,46.396,-7096145.84666658
70,46.957,-7096230.43768086
71,47.548,-7096456.25351342
72,48.096,-7096512.23039754
73,48.672,-7096657.85027442
74,49.252,-7096819.06065724
75,49.825,-7096923.89351757
76,50.374,-7097064.97493962
77,50.927,-7097126.06078992
78,51.521,-7097192.01864545
79,52.142,-7097327.06352965
80,52.728,-7097453.72032422
81,53.263,-7097661.95186994
82,53.800,-7097664.12386334
