Iter,Time,LogLik
1,0.679,-6985732.71997593
2,1.285,-6950021.03894898
3,1.918,-6937974.36700056
4,2.551,-6934304.83429927
5,3.167,-6933088.96207800
6,3.765,-6931641.42167014
7,4.412,-6932152.32708002
8,5.038,-6932143.45496620
9,5.644,-6933152.47950747
10,6.239,-6933739.90912320
11,6.850,-6935361.22518472
12,7.469,-6936191.63969920
13,8.046,-6939532.91542954
14,8.621,-6941854.84324821
15,9.227,-6943363.74968517
16,9.823,-6945308.03589367
17,10.399,-6946808.13161061
18,10.979,-6948000.46067129
19,11.569,-6949328.14523788
20,12.168,-6950149.10004895
21,12.868,-6951204.99639286
22,13.427,-6951975.59064371
23,14.011,-6953351.04744655
24,14.613,-6954099.29964957
25,15.202,-6955252.00977763
26,15.778,-6956628.42765570
27,16.374,-6957416.34311635
28,16.983,-6958276.94021501
29,17.581,-6959139.28170699
30,18.145,-6959957.09689662
31,18.754,-6960876.35734105
32,19.356,-6961733.51088555
33,19.930,-6962482.62856275
34,20.499,-6963397.81943754
35,21.079,-6964167.18097165
36,21.667,-6964982.90932864
37,22.238,-6965749.50049737
38,22.801,-6966582.84149567
39,23.385,-6967213.59632235
40,23.985,-6967761.86537925
41,24.563,-6968336.78192614
42,25.119,-6968924.92563357
43,25.705,-6969516.10337947
44,26.298,-6970066.83616570
45,26.865,-6970612.67295030
46,27.419,-6971167.67393070
47,28.008,-6971711.96263291
48,28.596,-6972348.39976627
49,29.154,-6972826.12226821
50,29.727,-6973342.89079527
51,30.315,-6973908.92458374
52,30.903,-6974409.21504102
53,31.476,-6974880.26046109
54,32.045,-6975342.79169436
55,32.619,-6975752.05128901
56,33.234,-6976208.24059822
57,33.807,-6976705.33857286
58,34.370,-6977099.18976104
59,34.953,-6977456.75649324
60,35.546,-6977961.24396677
61,36.113,-6978382.65404440
62,36.678,-6978789.65448055
63,37.251,-6979219.70544993
64,37.860,-6979645.66851494
65,38.436,-6980050.16969701
66,38.997,-6980424.34254856
67,39.578,-6980768.31174846
68,40.165,-6981131.90225097
69,40.719,-6981485.78000908
70,41.268,-6981830.92163955
71,41.851,-6982132.48154866
72,42.416,-6982530.99291726
73,42.965,-6982852.07504109
74,43.626,-6983231.37804932
75,44.209,-6983544.41547525
76,44.785,-6983939.60213211
77,45.355,-6984267.57914043
78,45.901,-6984549.52798444
79,46.467,-6984913.17481248
80,47.045,-6985195.06527856
81,47.625,-6985499.20982650
82,48.183,-6985782.17404139
83,48.735,-6986083.29103609
84,49.314,-6986330.43826870
85,49.885,-6986609.48646695
86,50.448,-6986914.69828566
87,50.996,-6987193.14392027
88,51.587,-6987509.66249097
89,52.168,-6987799.40882288
90,52.754,-6988044.48379397
91,53.336,-6988318.30554056
