Iter,Time,LogLik
1,0.741,-6990669.97656057
2,1.369,-6981241.56199216
3,1.981,-6981744.01087137
4,2.602,-6981642.98976290
5,3.237,-6982126.00411065
6,3.868,-6983441.93705629
7,4.463,-6986183.43533097
8,5.033,-6987649.49392196
9,5.636,-6988816.09509751
10,6.252,-6991206.18974090
11,6.822,-6992779.53349022
12,7.407,-6994438.86357403
13,8.021,-6998342.41318377
14,8.617,-7001024.63718897
15,9.201,-7003020.46491554
16,9.762,-7004716.84545408
17,10.351,-7006590.55903206
18,10.941,-7008296.07518450
19,11.532,-7009764.31667194
20,12.113,-7010760.85718792
21,12.692,-7011801.37494727
22,13.283,-7012864.66689563
23,13.880,-7013966.14603211
24,14.452,-7015038.70301227
25,15.012,-7016119.09324073
26,15.580,-7017493.34117096
27,16.174,-7018566.11387423
28,16.727,-7019730.69815548
29,17.283,-7020569.92263338
30,17.840,-7021425.63156843
31,18.427,-7022331.62595206
32,19.001,-7023355.04015780
33,19.571,-7024326.51964267
34,20.121,-7025110.87917484
35,20.689,-7025738.71887584
36,21.256,-7026524.62314536
37,21.804,-7027202.05797900
38,22.392,-7027982.51641700
39,22.959,-7028594.01805325
40,23.555,-7029316.45479734
41,24.127,-7029992.95261123
42,24.684,-7030507.77940988
43,25.240,-7031087.91695924
44,25.812,-7031839.23839852
45,26.396,-7032467.15753174
46,26.981,-7032990.83580123
47,27.528,-7033445.00747063
48,28.096,-7034071.44401067
49,28.679,-7034537.16675633
50,29.216,-7035036.94223430
51,29.785,-7035511.89081749
52,30.361,-7036057.22089572
53,30.944,-7036512.94316505
54,31.498,-7037029.86994268
55,32.059,-7037543.20530872
56,32.611,-7037916.90249574
57,33.173,-7038477.99811453
58,33.751,-7038832.64416926
59,34.302,-7039327.92439828
60,34.838,-7039666.14361331
61,35.382,-7040035.78176068
62,35.945,-7040403.59393604
63,36.504,-7040774.81536403
64,37.040,-7041156.85224777
65,37.579,-7041551.15955138
66,38.149,-7041935.74283417
67,38.732,-7042361.46916875
68,39.293,-7042635.10653240
69,39.824,-7042973.66968258
70,40.389,-7043231.64210596
71,40.957,-7043627.16698839
72,41.518,-7043906.97883230
73,42.059,-7044228.97541104
74,42.601,-7044490.55323212
75,43.180,-7044836.79680535
76,43.726,-7045183.05154621
77,44.267,-7045469.75495653
78,44.827,-7045826.98905056
79,45.405,-7046135.18906629
80,45.965,-7046447.07193343
81,46.506,-7046671.24865407
82,47.039,-7046886.48978244
83,47.618,-7047126.77005776
84,48.185,-7047371.51480214
85,48.715,-7047634.19854232
86,49.295,-7047854.83397116
87,49.862,-7048102.83199484
88,50.429,-7048387.02591857
89,50.984,-7048626.37702103
90,51.525,-7048938.21179730
91,52.062,-7049167.12744515
92,52.640,-7049420.08321888
93,53.209,-7049625.13730289
94,53.742,-7049800.83128315
95,54.290,-7050011.43493806
96,54.853,-7050199.99853964
97,55.393,-7050411.62793542
98,55.942,-7050655.08389161
99,56.488,-7050838.93526803
100,57.074,-7051049.12727050
101,57.633,-7051270.79114263
102,58.175,-7051477.54390816
103,58.717,-7051668.29824877
104,59.266,-7051867.23481154
105,59.830,-7052045.57144795
106,60.369,-7052237.02662060
107,60.899,-7052491.57731049
108,61.450,-7052662.04392233
109,62.045,-7052870.90475525
110,62.607,-7053067.75617692
111,63.139,-7053232.31923347
112,63.669,-7053412.35896421
113,64.231,-7053594.66951341
114,64.797,-7053766.65686841
115,65.350,-7053920.00109279
116,65.871,-7054057.99896555
117,66.421,-7054190.77430556
118,66.990,-7054371.46828178
119,67.549,-7054549.08997589
120,68.072,-7054710.64055574
121,68.616,-7054859.66029223
122,69.184,-7055053.72013170
123,69.747,-7055235.02056472
124,70.304,-7055422.05211168
125,70.852,-7055591.73892769
126,71.406,-7055705.90536504
127,71.973,-7055877.43979197
128,72.527,-7055980.07078096
129,73.061,-7056156.14715941
130,73.603,-7056274.97970354
131,74.152,-7056404.87537486
132,74.734,-7056524.85867975
133,75.281,-7056653.20545371
134,75.813,-7056804.74237524
135,76.365,-7056967.56670889
136,76.955,-7057121.90804613
137,77.498,-7057260.19876161
138,78.046,-7057369.23769635
139,78.610,-7057535.77993105
140,79.154,-7057640.96978690
141,79.716,-7057796.64611526
142,80.278,-7057901.88487587
143,80.814,-7058021.16883737
144,81.364,-7058112.82497149
145,81.932,-7058197.84390326
146,82.471,-7058326.43793530
147,83.004,-7058434.86152661
148,83.562,-7058504.61100703
149,84.128,-7058624.19450272
150,84.680,-7058724.94899987
151,85.239,-7058894.83331721
